in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,out:SE,out:Mass_CSOptim,out:Deflection_CSOptim,out:SE_CSOptim,out:HasFailed_CSOptim,img
-2,0,-1.5,0.011108,1038.501471,0.005554,28.066003,0.436426,0.218213,False,dy_4-2_dx_00_dy_0-1.5.png
-1.6,0,-1.5,0.010113,1033.084136,0.005057,36.301519,0.382372,0.191186,False,dy_4-1.6_dx_00_dy_0-1.5.png
-1.2,0,-1.5,0.010794,1042.041735,0.005397,44.671049,0.407801,0.2039,False,dy_4-1.2_dx_00_dy_0-1.5.png
-0.8,0,-1.5,0.01294,1062.960033,0.00647,66.675023,0.375554,0.187777,False,dy_4-0.8_dx_00_dy_0-1.5.png
-0.4,0,-1.5,0.016406,1095.474944,0.008203,82.699172,0.407708,0.203854,False,dy_4-0.4_dx_00_dy_0-1.5.png
0,0,-1.5,0.018871,1139.934072,0.009436,93.066643,0.409388,0.204694,False,dy_40_dx_00_dy_0-1.5.png
0.4,0,-1.5,0.017192,1196.297196,0.008596,159.200718,0.301087,0.150543,True,dy_40.4_dx_00_dy_0-1.5.png
0.8,0,-1.5,0.01376,1263.600751,0.00688,132.406989,0.135755,0.067878,False,dy_40.8_dx_00_dy_0-1.5.png
1.2,0,-1.5,0.011277,1340.1224,0.005638,121.469506,0.092081,0.04604,False,dy_41.2_dx_00_dy_0-1.5.png
1.6,0,-1.5,0.009914,1423.906918,0.004957,133.059721,0.069939,0.03497,False,dy_41.6_dx_00_dy_0-1.5.png
2,0,-1.5,0.009269,1513.191174,0.004635,145.939687,0.060772,0.030386,False,dy_42_dx_00_dy_0-1.5.png
-2,0.2,-1.5,0.009952,998.515062,0.004976,30.154182,0.356584,0.178292,False,dy_4-2_dx_00.2_dy_0-1.5.png
-1.6,0.2,-1.5,0.009339,997.642817,0.00467,30.660772,0.367554,0.183777,False,dy_4-1.6_dx_00.2_dy_0-1.5.png
-1.2,0.2,-1.5,0.01025,1010.340951,0.005125,37.548803,0.402589,0.201295,False,dy_4-1.2_dx_00.2_dy_0-1.5.png
-0.8,0.2,-1.5,0.012502,1034.006637,0.006251,56.518853,0.379062,0.189531,False,dy_4-0.8_dx_00.2_dy_0-1.5.png
